"dataset" "learner" "memory_limit"
"167" "MiniBooNE.41150" "classif.svm.radial" 1499700
"168" "MiniBooNE.41150" "classif.xgboost.dart" 1405512.48
"169" "MiniBooNE.41150" "classif.xgboost.gblinear" 1342248
"170" "MiniBooNE.41150" "classif.xgboost.gbtree" 1392973.56
"171" "PhishingWebsites.4534" "classif.RcppHNSW" 502590.96
"172" "PhishingWebsites.4534" "classif.glmnet" 421016.88
"173" "PhishingWebsites.4534" "classif.kerasff" 1103825.28
"174" "PhishingWebsites.4534" "classif.ranger.pow" 1091136.72
"175" "PhishingWebsites.4534" "classif.rpart" 424357.2
"176" "PhishingWebsites.4534" "classif.svm" 511440
"177" "PhishingWebsites.4534" "classif.svm.radial" 510622.8
"178" "PhishingWebsites.4534" "classif.xgboost.dart" 476514.6
"179" "PhishingWebsites.4534" "classif.xgboost.gblinear" 473304.96
"180" "PhishingWebsites.4534" "classif.xgboost.gbtree" 482608.92
"181" "Satellite.40900" "classif.RcppHNSW" 395944.8
"182" "Satellite.40900" "classif.glmnet" 392684.04
"183" "Satellite.40900" "classif.kerasff" 1056206.16
"184" "Satellite.40900" "classif.ranger.pow" 586453.2
"185" "Satellite.40900" "classif.rpart" 396559.8
"186" "Satellite.40900" "classif.svm" 438381.24
"187" "Satellite.40900" "classif.svm.radial" 449418
"188" "Satellite.40900" "classif.xgboost.dart" 411804.48
"189" "Satellite.40900" "classif.xgboost.gblinear" 409949.76
"190" "Satellite.40900" "classif.xgboost.gbtree" 411975.6
"191" "SpeedDating.40536" "classif.RcppHNSW" 575442.72
"192" "SpeedDating.40536" "classif.glmnet" 682032.84
"193" "SpeedDating.40536" "classif.kerasff" 1415124.24
"194" "SpeedDating.40536" "classif.ranger.pow" 1295407.8
"195" "SpeedDating.40536" "classif.rpart" 515479.2
"196" "SpeedDating.40536" "classif.svm" 816531.24
"197" "SpeedDating.40536" "classif.svm.radial" 732445.92
"198" "SpeedDating.40536" "classif.xgboost.dart" 796335.12
"199" "SpeedDating.40536" "classif.xgboost.gblinear" 798056.4
"200" "SpeedDating.40536" "classif.xgboost.gbtree" 802546.8
"201" "ada.41156" "classif.RcppHNSW" 393594.72
"202" "ada.41156" "classif.glmnet" 389906.16
"203" "ada.41156" "classif.kerasff" 1067590.8
"204" "ada.41156" "classif.ranger.pow" 719127.36
"205" "ada.41156" "classif.rpart" 398190
"206" "ada.41156" "classif.svm" 434404.92
"207" "ada.41156" "classif.svm.radial" 445930.8
"208" "ada.41156" "classif.xgboost.dart" 414564.48
"209" "ada.41156" "classif.xgboost.gblinear" 411357.24
"210" "ada.41156" "classif.xgboost.gbtree" 414342.72
"211" "adult.1590" "classif.RcppHNSW" 745955.88
"212" "adult.1590" "classif.glmnet" 747262.56
"213" "adult.1590" "classif.kerasff" 1739235.24
"214" "adult.1590" "classif.ranger.pow" 4889043.48
"215" "adult.1590" "classif.rpart" 571444.2
"216" "adult.1590" "classif.svm" 1070171.52
"217" "adult.1590" "classif.svm.radial" 1032846
"218" "adult.1590" "classif.xgboost.dart" 1299826.8
"219" "adult.1590" "classif.xgboost.gblinear" 1183241.28
"220" "adult.1590" "classif.xgboost.gbtree" 1171709.28
"221" "amazon.commerce.reviews.1457" "classif.RcppHNSW" 1630168.56
"222" "amazon.commerce.reviews.1457" "classif.glmnet" 5821813.68
"223" "amazon.commerce.reviews.1457" "classif.kerasff" 6176934
"224" "amazon.commerce.reviews.1457" "classif.ranger.pow" 2104200
"225" "amazon.commerce.reviews.1457" "classif.rpart" 4692530.04
"226" "amazon.commerce.reviews.1457" "classif.svm" 5912852.4
"227" "amazon.commerce.reviews.1457" "classif.svm.radial" 5891580.36
"228" "amazon.commerce.reviews.1457" "classif.xgboost.dart" 2227776
